word,partOfSpeech,gloss
kukum,n,lion
kannan,v,stink
kaani,n,parable
kang ya,v,separate it
kangut ya,v,separate her out
kangus ya,v,separate him out
kangush ya,v,separate you (f) out
kangnin ya,v,separate us out
kangkan ya,v,separate us out
kabiring,n,local hat
kaa ti syahai,n,first grand daughter
kaa,n,grand daughter/ daughter in-law
kaasa,n,your mother in-law/ your grand daughter/ daughter in-law
kaasun,n,my mother in-law/ my grand daughter/ daughter in-law
kaasus,n,his mother in-law/ grand daughter/ daughter in-law
kaasut,n,her mother in-law/ her grand daughter/ daughter in-law
kaashush,n,your mother in-law/your grand daughter/ daughter in-law
kaasikan,n,our mother in- law/our grand daughter/ daughter in-law
kaasanin,n,our mother in- law/ our grand daughter/ daughter in -law
kadun,adj,bad luck/ reproach
ka',v,catch/shine
ka'a,v,catch you (m)
ka'u,v,catch you (pl)
ka'un,v,catch me
ka'us,v,catch him (m)
ka'sa,v,catch you
kaarsu,v, divides you
kaarsus,v,divides him/them
kaartus,v,divides them
kaartu,v,divides you (pl m/f)
kaartut,v,divides her
kaarti,v,divides it
kat,adv,left/inherit man/ woman
katta,adv,left for you
kattu,adv,left for you (pl m/f)
kattut,adv,left for her
kattush,adv,left for you
katnin,adv,left with us
katkan,adv,left for us
katsu,adv,left for you
keɗeng,n,high
komsa ya,v,despise you
komsu ya,v,despise you
komsus ya,v,despise him/them
komsut ya,v,despise her
komsun ya,v,despise me
kommu ya,v,despise you (pl)
kommun ya,v,despise me
komkan ya,v,despise us
komnin ya,v,despise us
kommush ya,v,despise her
kwang,n,calabash
kwangmarom,n,box
karanggash,n,hill cactus/ buffalo
kapor,n, gravel
kangsa ya,v,separate you (m) out
kangsut ya,v,separate her (f) out
kangshush ya,v,separate you (f) out
kapak,n,chick
kambar,n,large rock
kabuk,v,beg
kambong,n,cocoyam
kamo',n,rabbit
kamshang,n,stick for stirring soup
kabung,n,harmattan
kunggul,n,ladder/wooden leader
kyunggywa',adj,no ending
katlong,n,type of monitor lizard
kavyong,n,tumoil
katndyong,adv,close by
kabit,adv,spiritual effort
kajamwesh,adj,no growth
kwit,n,hiding plan
kulul,n,termite
kating,n,baboon
katyan,n,baboons
kyarang,n,gorilla
kyara,n,ant sp.
kaada,n,book
kaar,v,divides/share
kaarra,v,you share/divide
kaarta,v,divides you
kaarrus,v,divides them
kaarkan,v,divides us
kaarnin,v,divides us
kop,n,inheritance
kwishish,n,type of shrub
kambil,n,pen
kyek,adv,manageable
kyel,n,place
kyel mute,n,sit
kyukya,n,rock baggar
kwai,n,today/long sword
kwal,n,valley / pot hole
kwetleng,n,place to hang
kweneng,n,light
kwishim,n,mouse
kwiyii,adj,unripe
kwinik,n,black seed herp
kyas,n,bone
kashon,n,children sickness that retard growth
kapyok,v,bubbling
kyalak,adv,to the brim/full
kyasas,n,bones
kyak,adj,good positioning
kifiɗik,adj,high
kinggem,n,type of herb
kinggesh,v,cut into pieces
kingyash,v,into pieces
kigaat,v,yawning
kingyar,v,hewing
kon,n,arm
kwanai,n,arms
kiga',adj,exactly
kinggang,v,stermaring
kigyal,n,armpit
kofta,v,show you
koftu,v,show you (pl)
koftun,v,show me
koftus,v,show us
koftut,v,show her
koftush,v,show you
kofkan,v,show us
kofnin,v,show us
kofsut,v,show her
kofa,v,shown you
kofu,v,shown you
kofun,v,shown me
kofsu,v, shown you
kofsa,v,shown you
kofsus,v,shown them
kofshush,v,shown you
kofkan,v,shown us
kofnin,v,shown us
kolfaissus,v,follow him
kolfaisikan,v,follow us
kolfaisinnin,v,follow us
kolfaisa,v,follow you
kolfaishush,v,follow you (f)
kolfaisut,v,follow her
kos,v, spend year
kukwer,v,spy
kwaras,v,spend years
kishwiling,adj,at aray
kikish,v,scattered
kabisa,adv,a lot waiting
kon,n,yesterday/shoulder
kum,n, container for putting oil to bethron a virgin
kiling,v, at ease
katangkpweng,n,marke (in Hausa) a type of tree
kunggwereng,n,mobile phone/bell
kunggwya',adj,none stop
kunggo,n,wedding
kwarasanna,adv,last/for ever
kyukwya,n,rockbagger
kal,v,blow hurt to cool
kalɓat,n,taking what is not yours
kinggit,adj,nobbing of head/ slumber
kinggat,adj,heavy
kingyem,n,harb for local soup
kintiɓwi,v,hope
kigaat,n,yawning
kyara i fyarai,n,fox
korong,n,cock
korom,n,desolate place
kaper,n,type of white stone/ tiles
kapet,n,wooden spoon
kikis,n,smoke
kyalal,n,type of snake
kwap,n,main gate
kaporok,n,beans
kapuruk,v,a kind of beating
koros,n,fallow land
ka'ti man,v,meeting
ka'tifoya,v,fasting
kwaa,v,pulling bushes on aca seed that is planted
kwaa',n,skin for backing baby
kwar,n,a hole of spring water
karanggash,n,buffalo
kawan,n,cricket
kutat,n,store place built at the corner inside the room
kaɓɓa,n,place to put leg to climb into local ceiling/shied to block epidemic diseases
kaɓal,n,anchor used in holding board in a place
kaɓat,n,cactus
kaɓor,n,local tray
kallaju,n,infant
kallajwau,n,infants
kat,n,left over/inherit woman/man
katlom,n,throwing stick
kol,n,load/bring
kpu,adj,level been dusty
kpang,adv,must
kpanga',adj,empty hands
kporong,v,hold strongly
kpakkasak,n,shoes
kpala,n,hwak
kpakkalak,n,not deep
kpakkasak i murum,n,type of herp
kpukpong,v,dragging
kpereng,v,tide
kpa,v,one is finish as been destroyed
kpaipkai,adj,long over due
kpam,adj,biggest among many
kparrara,adj,pass freely
kpee,adj,uncountable
kpekeɗeng,adj,sticky
kpeles,adj,completely
kpeshek,adj,climax of one lifting himself for nothing.
kpesheshesh,adj,hard to break
kperseng,adj,very raw
kir,n,pile of stalks/wood for cooking/cotton tree
kwa,adv,not
kwaa',n,skin for backing baby
kukwal,n,biggest bag
kukwal andek,n,one million
kukwal apil,n,two million
kukwal ataat,n,three million
kukwal ɓaras,n,four million
kukwal hara,n,five million
kukwal taan,n,six million
kukwal pyoron,n,seven million
kukwal myarfu',n,eight million
kukwal karfu',n,nine million
kukwal hure,n,ten million
kutuk,v,making all effort
kyana,v,puts you (m)
kyanu,v,puts you (pl m/f)
kyanut,v,puts her
kyanush,v,puts you (f)
kyannin,v,puts us
kyankan,v,puts us
kyannus,v,puts them
kyash,adj,landing of a bird/ exact on the spot
kwang ham,n,board
kwangwurai,n,ship
koros,n,fallow land
kuruk,n,a hole that carries water on a rock/ breaking pot to store water for chickens
lan,v,forge
lang,v,start out
langa,v,you (m) go
langu,v,you (pl m/f) go
langus,v,claim him
langsa,v,claim you
langsus,v,claim her
langnin,v,claim us
langut,v,claim her
langunra,v,sleep off from me
langutra,v,sleep off from her
langninra,v,sleep off from us
langkanra,v,sleep off from us
langshush,v,climbing you (f)
langush,v,claim you (f)
landi,n,hipopputamus
langgash,n,grasshopper(s)
lagbok,n,old grasshopper
lagbak,n,old grasshoppers
lamwe',adj,shrink
lyau,n,saliva
lwish,v,twist
lwya,n,tied friend
lwyat,v,stick/greed/long throat
lwyattattat,adj,hold tied
leng,n,step
leɓet,v,cheat
laɓon,v,bent
lesse,v,indictment
lok,v,leek
lok ya,v,leeked up
lo ya,n,bush animal/game
la,n,neck
lef,v,cut
laffa,v,he cut you
leffut,v,he cut her
lefsa,v,cut you
lefsu,v,cut you (pl)
lefshush,v,cut you
lefnin,v,cut us
lefkan,v,cut us
lefkun,v,he cut us
lefsu,v,cut you
lefsus,v,cut him
lak,v,say/speak/talk
lakka,v,you (m) speak/spoke to you
lakku,v,speak/spoke to you
lakkut,v,speak/spoke to her
lakkun,v,speak/spoke to me
lakkush,v,speak/spoke to you (f)
lakkan,v,speak/spoke to us
laksa,v,talk to you
laksu,v,talk to you
laksut,v,talk to her
laksus,v,talk to them
lakkush,v,talk to you (f)
lakshush,v,talk to her
laknin,v,talk to us
labasa,n,onion
le',n,tabboo
lel,v,secret discussion/mis
lelli,v,mistake
lullu,v,ask you 2nd per (pl)
lulnin,v,ask us- 3rd per (pl)
lulkan,v,ask us
lulkanni,v,he ask for us
lik,adj,blosom
lilyok,v,littered everywhere
lul hu mati,v,Question and answer
lul hu muhumtikyel,v,question and answer
lul hu shenni,v,question and response
lussus,v,slip
lukkukkuk,v,covering all places
lyaffa,v,you keep cutting
lyaffu,v,he keep cutting you (pl)
lyaffun,v,he keep cutting me
lyaffut,v,he keep cutting her
lyaffush,v,he keep cutting you (f)
lyafnin,v,he keep cutting us
lyafkan,v,he keep cutting us
lyangangang,adj,tiny
lyon,n,billion
lung,n,pot
lungai,n,pots
likit,n,alcohol liquor
lis,v,patch
lo,n,meat
lwettettet,v,hold tied
lai,v,call/buried
laiya,v,you (m) call
laisa,v,call you (m)
laisu,v,call you (pl m/f)
laiyu,v,call you (pl m/f)
laiyun,v,call me
lainin,v,call us
laikan,v,call us
laiyut,v,call her
laiyus,v,call him
laiyush,v,call her
lukul,n,support for burial
lang ya,v,went out
longnong,v,been lazy
lweshesh,v,durable
lui,v,nausea
lamwe',adj,wrinkle/shrink
lukwe,n,friend/heart to heart good discussion
lull,v,question
lullun,v,ask me 2nd Per (sg)
lullus,v,ask him 3rd per (sg)
lullut,v,ask her 2nd per (sg)
lullush,v,ask her 3rd per (sg)
lulla,v,ask you 2nd per (sg)
mmuwur,n,mistress
murak,v,humble/sleep
mwashi,adv,now
maɗufal,n,man
mangyel,n,friendship exchanging of food
mandafan,n,eyes lashes
macingjereng,n,dragon fly
mashaangi,n,middle size
malagbok,n,type of grasshopper
mallafos,n,foam
marei,n,brave/hero/male child
murei,n,brave lady/heroness
mare i anggut,n,police station
mare i makai,n,palace
mafwet,adj,is much
mumwer,n,bat
mambolosh,n,type of fruit
makambong,n,fig tree
makwa,n,shrub for rolling in order for planting aca
makwatak,n,stick to stir food insid pot
makwinish,n,type of worm that move in numbers
makandas,n,type of poisonous worm
makpungkuɗus,adj,something like a boll
ma',n,bridge
maɓan,n,good man/ respected person
muɓan,n,good lady/ respected lady
maɓyar,v,epileptic
maɗa,adj,exact image
mallot,v,a lot of effort
mullot,v,pill off
malan,n,one who forge
man,n,fire
manzur,n,worms
manzuur,n,little left over
marigya,n,pebbles in gurel
mot,n,dead
moot,adj,this one
mota anggur fo,v,idom expressing can't you talk to him?
mat,v,collect/receive
matta,v,you (m) collect
mattu,v,he receives you
mattus,v,he receives him
mattut,v,he receives her
mattun,v,he receives me
matnin,v,he receives us
matkan,v,he receives us
mathun,v,you receive
matsa,v,receives you
matsut,v,receives her
matsun,v,receives me
mmawur,n,master
mashittat,n,take blame
mabwattat,n,foam
manggahi,adj,heavy
malas,n,custium
macwa,n,grain/eaterble
macujwar,n,direction of ancestors
mwe,adv,woe
mween,adv,fear
mwen,n,friend
mwenus,v,he was afraid
mwenut,v,she was afraid
mwennin,v,we are afraid/ one day
malem,adj,show off
mallilam,n,type of vegetables
makocok,n,priest
mwii,n,chaff
manjokok,n,type of vegetable
mangvuring,n,insect
mulang ta,v,going in
mulang ya,v,going out
murang ta,v,going in
murang ya,v,going out
mulut,n,heart
mullum,adj,washing dirt not clean
meng,adj,distord syntax of a language
munak,n,bitterleaf/ditergent
munja',n,type of crawling fruit tree
maraful,n,mushrum
maraɗat,n,cool weather
maraknggal,n,warrior termite
marut,v,decayed
malis,n,tied friend
mangbwu',n,wild vine
maahweng,n,butterfly
mallusus,n,a type of reptile
magoho,n,a type of reptile
mashushwam,n,wasp
malu',n,angel/offspring/ creature
munjon,n,engine
mandarken,n,clan in Alis i Ron
makaɗa,n,clan in Alis i Ron
makaasa,n,bunch of sticks for brewing liquor
matol,n,clan in Alis i Ron
manzwet,n,type of grass
manzweti,n,the narrow one
mabangi,n,wide one
mabuf,n,flower
makutuk,v,making all effort
mayel,n,yellow vomit
mawoor,n,slougard
mayoor,n,weevil/beetle
manzufyal,n,earwig
muto,n,navel
munzar,n,a kind of grass
munza,n,daughter in-law
mator,n,sprout of a seed
makukwash,n,type of shrub
masirim,n,plant that grow on water in pong
musya,n,a tree
makai,n,king/chief
mukai,n,queen/princes
makunggul,n,leader/head/ chairman
mukunggul,n,chairlady
mukweng,n,circumcision
mandumai makolo,n,tin ore
manduma,n,type of grain
mangyesh,n,charcoal
manggorosh,n,hot charcoal
musur,n,place for local cooking
mwal,n,ear
mwelet,n,a type of fish/ uniform exit
mashir,n,wrapper
mimeer,n,scar
mandafan,n,eyes lashes
mas,n,back/do
maɗagwarat,n,stolk
manda,n,medicine
malaf,n,spleen
majuwi,n,red
manzyuwi,adj,glitter
matamwen,n, ant
murum,n,hyna
murut,v,decay
madagor,n,type of shrub
mbyar,v,confront
mbyalang,adj,fill to the brim
manzur,n,earth worm/worm
makunggo,n,bridegroom
mukunggo,n,bride
mashor,n,type of vegetable
mbwinin,n,hippopotamus/ mouth lib
mwa',v,stoop down
mallulwyak,n,behind the knee
mahulu',n,fallopian tube
makamo',n,leg tide
mandeng,n,three stones for cooking
manggiring,n,waist
mandu',n,dump
manzyau,n,blind
mawor,n,anthill
mander,n,vegetable
mandasha',n,a type of shrub
mukonan,n,days
mambaitat,n,sovereign/ almighty
mukof,n,local touch/ kerosine
makalwang,n,type of bird
magwyak,v,division
magwyaki,adj,torn one (m)
mugwyaki,adj,torn one (f)
mukonan,n,many days past
makaɓat,n,type of grasshopper
mambolosh,n,a kind of tree fruits
maral,n, a type of tree for local beans cake
mazarai,n,special feature in a male
mazaan,adj,stretch
mazaannan,adj,repitative stretching
muzarai,n,special feature in a female
mushet,adj,a live
manggarash,n,split of buttocks
mandash,adj,suffer oneself to work
macelel,adj,pure (liquit)
mandasha',n,a weed for clearing rubbish
muk,v,hailing/shouting/ noise
makoltifai,v,male believer
makyawi,n,black
mahangga',n,stingy person
muhangga',n,stingy person (f)
majimpa,n,herps for catching fish
mwanding,n,a kind of a shrub
manggahi,adj,heavy
mahyangi,adj,the large part
mandyong,adj,small part
manggam,n,syphilis
mangga'ama,adv,about you
mangga'amu,adv,about you
mangga'ani,adv,about that
mangga'amin,adv,about me
mangga'aminin,adv,about us
mangga'ames,adv,about him
mangga'amesh,adv,about her
mangga'amukan,adv,about us
mumbori,n,female
mwatan,n, sickness
maɓing,n,darkness
mafo,n,betrayal/one who doesn't keep secret
mburang,n,earthworm shit
mukon,adj,passing the night
muru,v,arriving
muru',n,an extension of thatch grass like varander
mu'shush,adv,concern you (f)
mwaat,v,moan
mwai,n,profit, benefit
mwii,n, chaft
mbyalang,adj,filled to the brim
mubangi,adj, (f) wide one
munzweti,adj, (f) tiny one
maakok,n,join venture eg farming with a friend to share the proceed
manzori washash,n, geneoalogy
mawak,n,toad big size
myaf,adj,thirsty
mashangar,n,junction
magong,n,boundary/furrow
manvwiring,n,type of insect
mavo,n,lid
mwai,n,broth/interest/gain
munung,v, discipline
munza,n,daughter in-law
mutena,v,stay
miir,n, a type of snake called anaconda
makutuk,v, struggle
muttak,v,temporal
mushet,adj, stay awake
mulik,adj, rising
matal,v,been paid
mandek,n, once
mukoltifai,v,female believer
mambyak,v,compit
mambiya,v,shoulder
mataa,v,discussion
matof,n,heap/meeting centre
mataram,n,weed for roofing thatch house
maakam,v,join two mouth to drink from the same calabash /kiss
mangkam,n,kingpin
muring,adj,been confuse
maringi,adj,strong (m)
muringi,adj,strong (f)
maring,adj,been confused
mafyahi,adj,not heavy
mataral,adj,been level
mataɗul,n,type of shrub
mawar,n,shrub
mu',adv,concern/problem
mu'a,adv,concern you (m)
mu'u,adv,concern you
mu'sa,adv,concern you (m)
mu'sut,adv,concern her
mu'nin,adv,concern us
mu'kan,adv,concern us
mu'tush,adv,consern you
mu'tu,adv,concern you (pl/m/f)
mu'tun,adv,concern me
mu'tut,adv,concern her
mbor,n,woman
mbule',n,goiter
mburit,adj,woman being naked
mbwere,n,pepper
mbweret,n,bone marrow
mbwirit,adj,naked
mbuk,adj,remove/uproot
mburu,n,diviner
mbwa,n,cheat/corruption
mbwalshi,n,vigina
mbwesh,adj,better as in comparism
mbeng,n,cob
mbwa,v,cheat/dishonest
mbol,adj,missed target
mbolosh,n,in a mass quantity
mbyolok,n, small pox
mbyokoɗos,n,thick liquit
mbwut,n,booth
mbwang,n,empty coup
mbwere,n,pepper
mbwere,n,pepper
mbwereng,n,snatch
mbyak,v,pinch
mbwet,v,pull off
mbwalang,n,mellon
mgbalas,adj,smooth
mbwet,v,strip off
mbet,n,peak/people
mbya',adj, use to think/ swift move
matambik,n, a bunch
mungya',n,ropes
mandyakani,adj,alike, resemblance
mashaangi,adj,medium size
mashaɓwereng,n,tinny branches of dried wood
manggi',adj,folded
magbwong,n,grown cricket
mgbakam,n,jaw
matgwyak,v,torn
matdya',v,reduce
matgwyakan,v,torns
matkaar,v,separate
matkaaran,v,divisions
myanat,v,afraid
mba,v,try/examine
mbaham,v,finished divination
mbatiham,v,divination
mbai,adj,big/large
mgbakam,n,molar jaw
mbar,n,oil
mban,n,pawpaw
mbarɓashin,n,palm oil
mbarrandong,n,butter
mbe',v,pill/thinking/ remember/count/read
mbeng wan,n,honey comb
mberel,v,knowing how to express in the language
mbwesh,adv, better
mbiri,n, horse
mbwalang,n,pumpkin/melon
makunggul,n, leader/head/ chairman
mukunggul,n,chairlady
mukweng,n,circumcision
mandumai makolo,n,tin ore
manduma,n,type of grain
mangyesh,n,charcoal
manggorosh,n,hot charcoal
musur,n,place for local cooking
maɗesi,adj,good
mwal,n,ear
mwelet,n,a type of fish/ smooth going
mashir,n,wrapper
mimeer,n,scar
mandafan,n,eyes lashes
mas,n,back/do
maɗagwarat,n,stolk
manda,n,medicine
malaf,n,spleen
majuwi,n,red
manzyuwi,adj,glitter
makyawi,n,black
mahangga',n,stingy person
muhangga',n,stingy person (f)
majimpa,n,herps for catching fish
mbyurut,adj,extend of been cooked
mbyorot,adj,extend of rottenness
mbiri,n,horse/car
mbwakak,n,skin diseases as a result of malnourishment
mban,n,pawpaw
mbweng,adj,castrate/ to open well
mbyar,v, confront
mbwinin,n,hippopotamus / mouth lib
mbel,v,little touch
mbelet,adj,at the extreme end
mahulu',n,fallopian tube
makamo',n,leg tide
mandeng,n,three stones for cooking
manggiring,n,waist
mandu',n,dump
manzyau,n,blind
mawor,n,anthill
mander,n,vegetable
mandasha',n,a type of shrub
makukwash,n,type of shrub
masirim,n,plant that grow on water
musya,n,a tree
makai,n,king/chief
mukai,n,queen/princes
nahwai,n,bush fowl
nin,n,we/local bean cake
naan,n,alter
nan,adv,may be
no',v,tie/bound
no'a,v, tie you (m)
no'u,v, tie you (pl m/f)
no'un,v, tie me
no'ut,v, tie her
no'us,v, tie him
no'su,v, tie you (pl m/f)
no'sus,v, tie him
no'ush,v, tie you (f)
no'nin,v, tie us (pl m/f)
no'kan,v, tie us (pl m/f)
no'sa,v, tie you (m)
no'shush,v, tie her
no'sun,v, tie me
ndafwash,n,harb for making local soup in the olden days
ndwish,v,iching
nwa',v,habitual tying
njekesh,adj,fitted
njung,adj,no live
nju,v,punch
njuwit,adj,loss out of sight
njuruk,adj,suddent weakness
nwung,v,cooked
ni,adv,he say
nyush,adv,tell you (f)
nyut,adv,said to her
nya,adv,tell you (m)
nyu,adv,tell you (pl)
mwanding,n,a kind of a shrub
manggahi,adj,heavy
mahyangi,adj,the large part
mandyong,adj,small part
mandyongi,adj,the small part
manggam,n,syphilis
mangga'ama,adv,about you
mangga'amu,adv,about you
mangga'ani,adv,about that
mangga'amin,adv,about me
mangga'aminin,adv,about us
mangga'ames,adv,about him
mangga'amesh,adv,about her
mangga'amukan,adv,about us
mumbori,n,female
mwatan,n, sickness
maɓing,n,darkness
mafo,n,betrayal/one who doesn't keep secret
mburang,n,earthworm shit
mukon,adj,passing the night
muru,v,arriving
muru',n,an extension of thatch grass like varander
mukonan,n,days
mambaitat,n,soveriegn/ almighty
mukof,n,local touch/kerosine
ndwetsa,v, squeese you
ndwetsu,v, squeese you
ndwetshush,v,squeese you (f)
ndwetsut,v, squeese her
ndwish,v,iching
ndwesh,v,block channel/play
ndyalam,adj,smooth going
njurung,adj,not cooked
njaki,n,donkey
naryot,n,type of birth
njerek,n,without cewing
njamo,n,jute
njillila,n,microphone
njin,v,sighting for love/ spiritual spell from twins
nzilwit,n,lightening/glitter
nzilyam,n,a type of grasshopper in small size known to be fatty
ndarak,adj,disappear
ndawal,v,spin finger on chick
ndokot,n,big tick
ndilyok,v,diver
ndik,n,ground
ndik andek,n,hundred
ndik apil,n,two hundred
ndik ataat,n,three hundred
ndik ɓaras,n,four hundred
ndik hara,n,five hundred
ndik taan,n,six hundred
ndik pyoron,n,seven hundred
ndik marfu',n,eight hundred
ndik karfu',n,nine hundred
ndikiɗya,n, football stadium
nggal andek,n,one thousand
nyai,adv,saying
nyesh,n,burnt
nyashanya,adv,jubilation
nyam,n,a clan in ruwi'/tangur
nai,adv,point of address: to
naa,n,mother
ndangshang,adv,together
nder,n,ant
nderet,n,barrister's defence
ndak,n,drop
ndakan,v,lets go/repeated droping
ndwak,adv,use to
ndawal,v, tingle on the chick
ndawala,v, tingled you
ndawalu,v, tingled you (pl m/f)
ndawalus,v,  tingled him
ndawalnin,v,  tingled us
ndawalut,v,   tingled her
ndawalshush,v, tingled you
ndawalsut,v, tingled her
ndawalsa,v, tingled him
ndawalsus,v,tingled you
ndwet,v, squeese/suffer
ndwetta,v, squeese you
ndwettu,v, squeese you (pl m/f)
ndwettun,v, squeese me
ndwetkan,v, squeese us
ndwettut,v, squeese her
ndwetnin,v, squeese us
ndwetush,v, squeese you
njwangash,n,pl of lazy
njuf,adj,instant movement
nven,adj,filtering
nzeret,v,jump/speed
nzek,adj,dried up inside ground
nzelek,v,disappear
nzifyat,v,conclude/ending
nzik,adj,moisture
nzeknzek,adj,died one time
nzwet,adj,shrink in size
nzur,v,pour out last part
nzin,v,swift
nzan,n,bud/clitoris
nzet,v,spit
nzong,n, walking stick to support
nzokokok,adj,arrange by height
nzwet,adv,narrow
nyok,v, sex
nyoo',v,see but not to be giving
ngyang,v,deliberate
nzyalmut,n, frog
ndiu,n,problem
ndyaf,adv,drop
ndash,v,beat
ndut,n,old single (m)
ndal,v,spoil/destruction
nakwai,n,song
ndus,v,block/forceful breath
ndung,n,dome built with mud
ndalak,n,inner cavity
nduret,n,a pipe
ndaɓwang,n,type of tree for local soup
ndol,n,iron custium
ndolos,adj,plenty
ndwet,n, squash/squeeze
ngutur,v,short
nguturai,v,shorts
ndyolos,adj,snuff off completely
nuk,v,grind
njawet,v,scratch
njenga,v, you  (m) be strong
njengu,v, you (pl m/f) be strong
njengut,v, she is strong
njeng hun,v, you (pl m/f) strong
njeng shi,v, you (f) be strong
njan,n,one of the twins
njanan,n,twins
njanggai,n,stalk of corn
njungkulet,n,flute
njwang,n,lazy
njwangat,n,been lazy
ngwang,v,trial
nggash,n,dried mosel/idiom of embarrassment
nggupya,n,ingrate
nggashash,n, waste of millet/ genuine cord
ngang,adv,always
nggish,n,pig
ngguɓang,n,a type of tree
ngguɓang wur,n,mango
nyef,n,trampet
nggwi,n,socket joint in the pelvic
nggor,v,bit
nggok,n,block
nggorok,n,ravin
ngyesh,n,burnt
nggyeter,n,leper
ngye,n,honor/growth
nggorosh,n,red charcol
nggwere',adj,at the edge
nggyel,v,pip/glance
nggyo,adv,ready or about to
nggul,v,a kind of tree
nggul,v,fall
nggulus,v,he fall
nggulut,v,she fall
nggulun,v,I fall
nggulung,n,nook
nggulungang,n,nooks and crannies
ngga,v,to chase
nggan,v,chased me
nggat,v,chased her
ngganin,v,chased us
nggakan,v,chased us
nggasut,v,chased her
nggasa,v,chased you
nggashush,v,chased you
nggasus,v,chased him
nggas,v,chase him
nggash,v,chase you (f)
nggal,n,sack
nggal andek,n,one thousand
nggal apil,n,two thousand
nggal ataat,n,three thousand
nggal ɓaras,n,four thousand
nggal hara,n,five thousand
nggal taan,n,six thousand
nggal pyoron,n,seven thousand
nggal marfu',n,eight thousand
nggal karfu',n,nine thousand
nggal,n,a type of animal
nggarmwesh,adj,any thing that is twisted
ngau,n,fox
nga',v,stuck
nga'an,v,stucking repeatedly
ngge',v,touch
nggwa,n,angle
ngyes,n,python
nggarat,n,ostrich
nggwaral,n, kidney
nggwalash,n,pilvic
nggwangai,n,stip/depression
nggwenenen,adj,hold not to release
nja,n, type of ant
njaar,v,spring out/leak out/ arrange
njakawa,n,masquerade
njaki,n,donkey
njallau,n,type of grasshopper
njeng,v,strength
njin,v,choose/metaphysical manipulation
njifit,v,twinkle
njor,n,sand
njurung,adj,uncooked/tough situation
njwa,v,pound
njil,n,bottle/throw/weapon made out of animal horn
njweres,adj,uncooked
nju,v,hit
njus,v,hit him
njun,v,hit me
njut,v,hit her
njush,v,hit you
njunin,v,hit us
njukan,v,hit us
njwai,v,hitting
njwaisa,v,hits you
njwaisu,v,hits you (pl m/f)
njwaisut,v,hits her
njwaisus,v,hits him
njwaikan,v,hits us
njwaiyut,v,hits her
njwainin,v,hits us
njwaiyansikan,v,hits us
njwaiyanshush,v,hits you
njwaiyansus,v,hits him
nggwal,v,continuous falling
nggwallus,v,fallen
nggwallan,v,falling
nggwalnin,v,falling us
nggwalkan,v,falling us
nggwallush,v,fall you (f)
